title,"author/editor",publisher,year,notes
1q84,haruki murakami,vintage books,2011,3-volume paperback set
1q84,haruki murakami,knopf,2011,first edition hardback
after dark,haruki murakami,vintage books,"",""
cheap therapist says you're insane,parker young,future tense,2023,""
hard-boiled wonderland and the end of the world,haruki murakami,vintage books,"",""
soma,colin pezzano,"",2023,"a graphic novel told in woodcuts"
sputnik sweetheart,haruki murakami,vintage books,"",""
the wind-up bird chronicle,haruki murakami,vintage books,"",""
what i talk about when i talk about running,haruki murakami,vintage books,"",""
